note_id,#diary_id,#author_id,#note_date,#places
"38874",#"130",#"125",#"1942-06-07",#
"38875",#"130",#"125",#"1942-06-08",#"май->1"
"38876",#"130",#"125",#"1942-06-11",#
"38877",#"130",#"125",#"1942-06-13",#
"38878",#"130",#"125",#"1942-06-14",#
"38854",#"130",#"125",#"1942-04-01",#"боровичи->1"
"38855",#"130",#"125",#"1942-04-05",#"боровичи->1"
"38856",#"130",#"125",#"1942-04-09",#"город вичуга->1"
"38857",#"130",#"125",#"1942-04-22",#
"38858",#"130",#"125",#"1942-04-23",#
"38859",#"130",#"125",#"1942-04-26",#
"38860",#"130",#"125",#"1942-04-27",#"май->1"
"38861",#"130",#"125",#"1942-05-01",#
"38862",#"130",#"125",#"1942-05-06",#
"38863",#"130",#"125",#"1942-05-07",#
"38849",#"130",#"125",#"1942-03-15",#"бологое->1"
"38850",#"130",#"125",#"1942-03-16",#"окуловка->1,город вишера->1"
"38851",#"130",#"125",#"1942-03-17",#
"38852",#"130",#"125",#"1942-03-18",#
"38853",#"130",#"125",#"1942-03-18",#"новоселица->1"
"38835",#"130",#"125",#"1942-02-28",#"курган->1"
"38836",#"130",#"125",#"1942-03-01",#"свердловск->1"
"38837",#"130",#"125",#"1942-03-02",#"кунгур->1"
"38838",#"130",#"125",#"1942-03-03",#"пермь->1"
"38839",#"130",#"125",#"1942-03-05",#"балезино->1"
"38840",#"130",#"125",#"1942-03-06",#
"38841",#"130",#"125",#"1942-03-07",#"ока->1,город киров->1,киров->1"
"38842",#"130",#"125",#"1942-03-08",#"кандалакша->1,шарья->1"
"38843",#"130",#"125",#"1942-03-09",#"ленинград->2,москва->1,буй->3"
"38844",#"130",#"125",#"1942-03-10",#"казариновое->1,ярославль->1"
"38845",#"130",#"125",#"1942-03-11",#"волга->1,данил->1,ярославль->2"
"38846",#"130",#"125",#"1942-03-12",#"чебаковое->1,город рыбинск->1"
"38847",#"130",#"125",#"1942-03-13",#
"38848",#"130",#"125",#"1942-03-14",#
"38830",#"129",#"124",#"1968-10-01",#
"38831",#"130",#"125",#"1942-02-20",#
"38832",#"130",#"125",#"1942-02-23",#"омск->2"
"38833",#"130",#"125",#"1942-02-25",#
"38834",#"130",#"125",#"1942-02-26",#"омск->1"
"38828",#"129",#"124",#"1968-08-28",#"красная->1"
