	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	prep_orig	case_orig	prep_corr	case_corr
369	Subst	Gov	Transfer	B2	Verb	ж	FL	от	G	на	L
370	Subst	Gov	-	B2	Verb	м	FL	после	G	за	I
371	Subst	Gov	-	B2	Verb	м	FL	с	I	из	G
372	Miss	Gov	-	C1	Verb	ж	FL	-	D	к	D
373	Miss	Gov	-	C1	Verb	ж	FL	-	D	на	A
374	Miss	Gov	-	C1	Verb	ж	FL	-	D	по	D
375	Miss	Constr	-	C1	place	ж	FL	-	L	в	L
376	Miss	Gov	-	C1	Verb	ж	FL	-	L	в	L
377	Miss	Constr	-	C1	place	ж	FL	-	L	на	L
378	Miss	Gov	-	C1	Verb	ж	FL	-	I	от	G
379	Miss	Gov	-	C1	Verb	ж	FL	-	D	в	L
380	Subst	Constr	-	C1	place	ж	FL	в	L	на	L
381	Extra	Gov	-	C1	Verb	ж	FL	на	G	-	N
382	Miss	Gov	-	C1	Verb	ж	FL	-	L	о	L
383	Subst	Gov	-	C1	Verb	ж	FL	на	L	по	D
384	Subst	Gov	-	A1	Verb	ж	FL	в	A	на	A
385	Miss	Gov	-	C1	Verb	м	HL	-	G	о	L
386	Miss	Gov	-	C1	Noun	м	HL	-	L	о	L
387	Extra	Gov	-	C1	Noun	м	HL	о	G	-	G
388	Miss	Gov	Transfer	C1	Noun	м	HL	-	G	о	L
389	Miss	Gov	-	C1	Noun	м	HL	-	G	к	D
390	Miss	Gov	Transfer	C1	Verb	м	HL	-	A	о	L
391	Extra	Gov	Fusion	C1	Verb	ж	HL	к	D	-	D
392	Subst	Gov	Transfer	C1	Verb	ж	HL	в	A	к	D
393	Miss	Gov	-	B1	Verb	ж	HL	-	G	на	L
394	Miss	Constr	-	C1	time	м	HL	-	A	в	A
395	Miss	Constr	-	C1	time	м	HL	-	A	в	A
396	Miss	Constr	-	C1	time	м	HL	-	A	в	A
397	Miss	Gov	-	B2	Verb	м	HL	-	G	у	G
398	Extra	Constr	Transfer	C1	Adj	м	HL	за	N	-	I Adj
399	Extra	Gov	-	C1	Adj	м	HL	за	A	-	I
400	Extra	Gov	-	C1	Verb	м	HL	из	G	-	I
401	Extra	Gov	Transfer	C1	Verb	м	HL	из	G	-	G
402	Miss	Gov	-	C2	Noun	ж	HL	-	G	от	G
403	Subst	Constr	Fusion	C1	place	ж	HL	на	L	в	L
