	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	prep_orig	case_orig	prep_corr	case_corr
194	Miss	Gov	Transfer	A2	Noun	ж	FL	-	G	о	L
195	Miss	Gov	Transfer	A2	Noun	ж	FL	-	N	о	L
196	Subst	Constr	-	A2	purpose	ж	FL	для	V	-	Conj V
197	Miss	Gov	-	A2	Noun	ж	FL	-	L	о	L
198	Miss	Gov	-	A2	Noun	ж	FL	-	G	о	L
199	Miss	Gov	-	A2	Noun	ж	FL	-	G	от	G
200	Miss	Gov	-	A2	Noun	ж	FL	-	G	по	D
201	Subst	Gov	-	A2	Noun	ж	FL	о	L	по	D
202	Subst	Gov	-	A2	Noun	ж	FL	о	L	по	D
203	Subst	Gov	-	A2	Noun	ж	FL	о	L	по	D
204	Miss	Gov	-	A2	Noun	ж	FL	-	L	на	L
205	Subst	Constr	Transfer	A2	purpose	ж	FL	для	V	-	Conj V
206	Miss	Gov	-	A2	Noun	ж	FL	-	G	про	A
207	Subst	Constr	Transfer	A2	purpose	ж	FL	для	V	-	Conj V
208	Miss	Gov	-	A2	Verb	ж	FL	-	I	с	I
209	Miss	Gov	-	A2	Noun	м	FL	-	N	с	I
210	Miss	Gov	-	A2	Verb	ж	FL	-	A	в	L
211	Subst	Gov	-	A2	Verb	ж	FL	с	I	на	L
212	Subst	Gov	-	A2	Verb	м	FL	с	G	от	G
213	Subst	Gov	Transfer	A2	Verb	м	FL	с	I	на	L
214	Extra	Gov	Fusion	A2	Verb	ж	FL	о	L	-	A
215	Extra	Gov	Fusion	A2	Verb	ж	FL	о	L	-	A
216	Extra	Gov	Fusion	A2	Verb	ж	FL	о	L	-	A
217	Miss	Gov	-	A2	Noun	ж	FL	-	L	о	L
218	Subst	Constr	-	A2	purpose	ж	FL	для	V	-	Conj V
219	Miss	Gov	-	A2	Noun	ж	FL	-	A	о	L
220	Subst	Gov	-	A2	Verb	м	FL	в	L	по	D
221	Extra	Constr	Transfer	A2	Verb	м	FL	в	Adv	-	Adv
222	Subst	Gov	-	A2	Verb	ж	FL	в	A	на	A
223	Extra	Constr	Transfer	A2	time	м	FL	в	L	-	Adv
224	Subst	Constr	-	A2	purpose	ж	FL	на	V	-	Conj V
225	Subst	Constr	-	A2	time	ж	FL	во время	N	в течение	G
226	Subst	Constr	-	A2	time	ж	FL	во время	N	в течение	G
227	Subst	Gov	-	A2	Verb	ж	FL	к	D	в	A
228	Subst	Constr	-	A2	time	ж	FL	во время	N	в течение	G
