	Gov_Constr	subst	Fusion_Transfer	level	constr	gender	language	case_orig	case_corr
146	Constr	subst	-	A1	time	м	FL	L	A
147	Gov	not subst	-	A1	Verb	ж	FL	A	D
148	Gov	not subst	-	A1	Verb	ж	FL	N	G
149	Gov	not subst	-	A1	Verb	ж	FL	N	G
150	Gov	not subst	-	A1	Verb	м	FL	L	A
151	Constr	subst	-	A1	place	м	FL	L	L
152	Gov	not subst	Transfer	A1	Verb	ж	FL	I	I
153	Constr	subst	Transfer	A1	time	ж	FL	G	A
154	Gov	subst	-	A1	Verb	м	FL	L	A
155	Gov	subst	-	A1	Verb	ж	FL	G	I
156	Gov	not subst	-	A1	Verb	м	FL	A	Adv
157	Gov	subst	-	A1	Verb	ж	FL	A	G
158	Gov	not subst	Transfer	A2	Noun	ж	FL	G	L
159	Constr	not subst	-	A2	time	ж	FL	N	L
160	Gov	subst	-	A2	Noun	ж	FL	L	D
161	Gov	not subst	-	A2	Verb	ж	FL	N	L
162	Gov	subst	-	A2	Noun	ж	FL	N	D
163	Gov	not subst	-	A2	Noun	ж	FL	N	L
164	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
165	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
166	Gov	subst	-	A2	Noun	ж	FL	D	D
167	Gov	subst	-	A2	Noun	ж	FL	N	D
168	Gov	not subst	-	A2	Noun	ж	FL	N	L
169	Constr	subst	-	A2	time	ж	FL	L	L
170	Constr	subst	-	A2	time	ж	FL	L	L
171	Constr	subst	-	A2	time	ж	FL	L	L
172	Constr	subst	-	A2	time	ж	FL	L	L
173	Constr	not subst	-	A2	time	ж	FL	L	L
174	Constr	subst	-	A2	time	м	FL	L	L
175	Constr	subst	-	A2	place	ж	FL	L	L
176	Constr	subst	-	A2	place	ж	FL	L	L
177	Constr	not subst	-	A2	time	м	FL	N	L
178	Gov	not subst	Transfer	A2	Verb	ж	FL	N	I
179	Gov	not subst	-	A2	Verb	ж	FL	I	I
180	Gov	not subst	-	A2	Verb	м	FL	N	D
181	Gov	not subst	-	A2	Noun	м	FL	G	G
182	Gov	not subst	-	A2	Verb	м	FL	D	D
183	Gov	not subst	-	A2	Verb	м	FL	G	G
184	Gov	not subst	-	A2	Noun	м	FL	G	G
185	Gov	not subst	-	A2	Noun	м	FL	G	A
186	Gov	not subst	-	A2	Verb	м	FL	N	A
187	Constr	not subst	Transfer	A2	time	ж	FL	N	A
188	Gov	not subst	Transfer	A2	Verb	ж	FL	N	A anim
189	Gov	not subst	-	A2	Verb	ж	FL	N	L
190	Gov	not subst	Transfer	A2	Verb	м	FL	N	L
191	Gov	not subst	-	A2	Noun	ж	FL	N	I
192	Constr	subst	-	A2	time	ж	FL	L	A
193	Gov	not subst	Transfer	A2	Noun	ж	FL	G	L
194	Gov	not subst	Transfer	A2	Noun	ж	FL	G	L
195	Gov	not subst	Transfer	A2	Noun	ж	FL	N	L
196	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
197	Gov	not subst	-	A2	Noun	ж	FL	L	L
198	Gov	not subst	-	A2	Noun	ж	FL	G	L
199	Gov	not subst	-	A2	Noun	ж	FL	G	G
200	Gov	not subst	-	A2	Noun	ж	FL	G	D
201	Gov	subst	-	A2	Noun	ж	FL	L	D
202	Gov	subst	-	A2	Noun	ж	FL	L	D
203	Gov	subst	-	A2	Noun	ж	FL	L	D
204	Gov	not subst	-	A2	Noun	ж	FL	L	L
205	Constr	subst	Transfer	A2	purpose	ж	FL	V	Conj V
206	Gov	not subst	-	A2	Noun	ж	FL	G	A
207	Constr	subst	Transfer	A2	purpose	ж	FL	V	Conj V
208	Gov	not subst	-	A2	Verb	ж	FL	I	I
209	Gov	not subst	-	A2	Noun	м	FL	N	I
210	Gov	not subst	-	A2	Verb	ж	FL	A	L
211	Gov	subst	-	A2	Verb	ж	FL	I	L
212	Gov	subst	-	A2	Verb	м	FL	G	G
213	Gov	subst	Transfer	A2	Verb	м	FL	I	L
214	Gov	not subst	Fusion	A2	Verb	ж	FL	L	A
215	Gov	not subst	Fusion	A2	Verb	ж	FL	L	A
216	Gov	not subst	Fusion	A2	Verb	ж	FL	L	A
217	Gov	not subst	-	A2	Noun	ж	FL	L	L
218	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
219	Gov	not subst	-	A2	Noun	ж	FL	A	L
220	Gov	subst	-	A2	Verb	м	FL	L	D
221	Constr	not subst	Transfer	A2	Verb	м	FL	Adv	Adv
222	Gov	subst	-	A2	Verb	ж	FL	A	A
223	Constr	not subst	Transfer	A2	time	м	FL	L	Adv
224	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
225	Constr	subst	-	A2	time	ж	FL	N	G
226	Constr	subst	-	A2	time	ж	FL	N	G
227	Gov	subst	-	A2	Verb	ж	FL	D	A
228	Constr	subst	-	A2	time	ж	FL	N	G
229	Gov	not subst	-	A2	Noun	ж	FL	N	G
230	Gov	not subst	-	A2	Verb	ж	FL	N	A anim
231	Gov	not subst	-	A2	Verb	ж	FL	G	A anim
232	Gov	subst	-	A2	Verb	ж	FL	N	A
233	Gov	subst	Transfer	A2	Verb	м	FL	G	G
234	Gov	subst	Transfer	A2	Verb	ж	FL	G	I
235	Gov	not subst	-	A2	Noun	ж	FL	N	G
236	Gov	not subst	-	A2	Noun	ж	FL	G	G
237	Gov	subst	-	A2	Verb	ж	FL	G	A
238	Constr	subst	Transfer	A2	purpose	ж	FL	V	Conj V
239	Gov	not subst	-	A2	Noun	ж	FL	N	G
240	Constr	not subst	Transfer	A2	time	ж	FL	A	A
241	Gov	not subst	-	A2	Noun	ж	FL	L	L
242	Constr	subst	Transfer	A2	purpose	ж	FL	V	Conj V
243	Gov	subst	-	A2	Verb	м	FL	G	A
244	Constr	subst	Transfer	A2	purpose	ж	FL	V	Conj V
245	Gov	subst	Transfer	A2	Verb	ж	FL	G	D
246	Gov	subst	-	A2	Noun	м	FL	N	G
247	Gov	not subst	-	A2	Noun	ж	FL	N	G
248	Gov	subst	-	A2	Verb	ж	FL	A	G
249	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
250	Gov	subst	-	A2	Verb	ж	FL	N	G
251	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
252	Gov	subst	-	A2	Verb	ж	FL	A	A
253	Gov	subst	-	A2	Verb	ж	FL	A	A
254	Gov	not subst	-	A2	Noun	м	FL	G	A anim
255	Gov	subst	-	A2	Verb	ж	FL	L	A
256	Gov	subst	-	A2	Noun	ж	FL	G	G
257	Gov	subst	-	A2	Verb	ж	FL	L	D
258	Gov	subst	-	A2	Verb	ж	FL	A	A
259	Constr	subst	-	A2	time	ж	FL	L	L
260	Gov	subst	-	A2	Verb	м	FL	D	D
261	Constr	subst	-	A2	place	ж	FL	L	L
262	Gov	subst	-	A2	Verb	ж	FL	A	A
263	Gov	subst	Fusion	A2	Verb	ж	FL	L	L
264	Constr	subst	-	A2	place	ж	FL	L	L
265	Gov	subst	Fusion	A2	Verb	ж	FL	A	A
266	Gov	subst	-	A2	Verb	ж	FL	L	A
267	Gov	subst	-	A2	Verb	ж	FL	L	A
268	Constr	subst	-	A2	time	ж	FL	N	G
269	Gov	subst	-	A2	Verb	ж	FL	A	A
270	Gov	subst	-	A2	Noun	ж	FL	L	L
271	Gov	not subst	-	A2	Verb	ж	FL	A	A
272	Gov	subst	Fusion	A2	Verb	ж	FL	L	A
273	Constr	subst	-	A2	place	м	FL	L	L
274	Gov	subst	-	A2	Verb	ж	FL	L	L
275	Gov	not subst	Fusion	A2	Verb	ж	FL	L	A
276	Gov	not subst	-	A2	Noun	м	FL	N	A
277	Gov	not subst	Fusion	A2	Verb	ж	FL	L	A
278	Gov	subst	-	A2	Noun	ж	FL	L	D
279	Gov	not subst	Fusion	A2	Verb	ж	FL	D	A
280	Gov	not subst	Fusion	A2	Verb	ж	FL	D	A
281	Gov	not subst	-	A2	Noun	ж	FL	G	G
282	Gov	subst	-	A2	Verb	ж	FL	N	A
283	Constr	subst	-	A2	time	ж	FL	N	G
284	Gov	not subst	Transfer	A2	Noun	ж	FL	G	L
285	Constr	subst	-	A2	purpose	ж	FL	V	V Conj
286	Gov	not subst	Transfer	A2	Noun	ж	FL	G	L
287	Constr	subst	-	A2	purpose	ж	FL	V	Conj V
288	Gov	not subst	-	A2	Noun	ж	FL	L	L
289	Gov	not subst	-	A2	Verb	ж	FL	I	I
290	Constr	not subst	Transfer	A2	time	ж	FL	N	A
291	Constr	subst	-	A2	time	ж	FL	A	G
292	Gov	subst	-	A2	Verb	м	FL	L	D
293	Constr	subst	-	A2	time	ж	FL	A	A
294	Gov	not subst	Transfer	A2	Noun	ж	FL	G	D
295	Gov	subst	-	A2	Adj	ж	FL	G	G
296	Gov	subst	Transfer	A2	Verb	м	FL	I	L
297	Gov	not subst	-	B1	Verb	ж	FL	A	A
298	Gov	not subst	-	B1	Verb	ж	FL	L	L
299	Gov	not subst	-	B1	Verb	ж	FL	A	I
300	Gov	not subst	Transfer	B1	Verb	ж	FL	A	A
301	Gov	not subst	Transfer	B1	Verb	ж	FL	A	A
302	Gov	subst	-	B1	Verb	ж	FL	G	D
303	Gov	subst	Transfer	B1	Noun	ж	FL	L	L
304	Gov	not subst	-	B1	Verb	ж	FL	N	A anim
305	Constr	not subst	Transfer	B1	time	ж	FL	N	A
306	Gov	not subst	Transfer	B1	Verb	м	FL	A	L
307	Gov	subst	-	B1	Verb	м	FL	I	A
308	Gov	subst	-	B1	Verb	ж	FL	L	L
309	Gov	not subst	Transfer	B1	Verb	ж	FL	A	L
310	Gov	not subst	-	B1	Verb	ж	FL	G	L
311	Constr	subst	-	B1	place	ж	FL	L	L
312	Constr	subst	-	B1	place	ж	FL	L	L
313	Constr	subst	-	B1	place	ж	FL	L	L
314	Gov	subst	-	B1	Verb	ж	FL	L	L
315	Constr	subst	-	B1	time	ж	FL	L	L
316	Constr	subst	-	B1	time	м	FL	L	L
317	Gov	subst	-	B1	Verb	ж	FL	L	L
318	Gov	subst	-	B1	Verb	ж	FL	G	G
319	Gov	not subst	Fusion	B1	Verb	ж	FL	A	L
320	Gov	not subst	-	B1	Verb	м	FL	I	G
321	Gov	not subst	-	B1	Verb	ж	FL	G	G
322	Constr	subst	-	B1	Verb	ж	FL	I	G
323	Gov	subst	-	B1	Verb	м	FL	G	G
324	Gov	subst	-	B1	Verb	ж	FL	G	D
325	Gov	subst	-	B1	Noun	ж	FL	G	G
326	Gov	not subst	Transfer	B1	Verb	ж	FL	I	I
327	Gov	not subst	-	B1	Verb	ж	FL	I	I
328	Gov	not subst	Fusion	B1	Verb	ж	FL	L	A
329	Gov	not subst	-	B1	Verb	м	FL	I	I
330	Gov	not subst	-	B1	Verb	м	FL	N	L
331	Gov	not subst	-	B1	Verb	ж	FL	G	G
332	Gov	not subst	-	B1	Verb	ж	FL	L	A
333	Constr	subst	-	B1	place	м	FL	L	L
334	Gov	not subst	-	B1	Verb	ж	FL	L	D
335	Gov	subst	-	B1	Noun	ж	FL	G	D
336	Gov	subst	-	B1	Verb	ж	FL	L	D
337	Gov	subst	-	B1	Verb	м	FL	G	G
338	Gov	subst	-	B1	Noun	м	FL	L	D
339	Gov	subst	Transfer	B1	Noun	ж	FL	G	D
340	Gov	subst	-	B1	Verb	ж	FL	L	D
341	Constr	not subst	Transfer	B1	time	ж	FL	Adv	Adv
342	Constr	subst	-	B1	place	ж	FL	L	G
343	Gov	not subst	Transfer	B1	Verb	ж	FL	D	D
344	Gov	not subst	-	B1	Noun	м	FL	G	G
345	Gov	not subst	Transfer	B1	Verb	ж	FL	L	I
346	Gov	subst	-	B1	place	ж	FL	A	L
347	Gov	subst	-	B1	Verb	ж	FL	I	D
348	Gov	subst	-	B1	Adv	ж	FL	L	G
349	Gov	subst	-	B1	Verb	ж	FL	L	L
350	Gov	subst	-	B1	Verb	ж	FL	L	L
351	Constr	subst	-	B1	time	ж	FL	A	A
352	Gov	not subst	Transfer	B1	Noun	ж	FL	G	G
353	Gov	subst	-	B1	Verb	ж	FL	A	A
354	Gov	subst	-	B1	Verb	ж	FL	A	A
355	Constr	subst	-	B1	place	ж	FL	L	L
356	Gov	subst	-	B1	Noun	ж	FL	L	L
357	Gov	subst	Fusion	B1	Verb	ж	FL	A	L
358	Gov	not subst	-	B1	Verb	ж	FL	G	I
359	Gov	subst	Transfer	B1	Verb	ж	FL	D	G
360	Gov	not subst	-	B1	Verb	ж	FL	D	I
361	Constr	subst	-	B1	Noun	ж	FL	G	D
362	Gov	subst	-	B1	Noun	м	FL	L	D
363	Gov	subst	-	B1	Verb	ж	FL	A	A
364	Gov	not subst	-	B2	Verb	ж	FL	L	L
365	Gov	not subst	Transfer	B2	Verb	ж	FL	N	I
366	Gov	not subst	Transfer	B2	Verb	ж	FL	N	I
367	Gov	not subst	-	B2	Noun	ж	FL	Adv	I
368	Gov	not subst	-	B2	Verb	ж	FL	Adv	Adv
369	Gov	subst	Transfer	B2	Verb	ж	FL	G	L
370	Gov	subst	-	B2	Verb	м	FL	G	I
371	Gov	subst	-	B2	Verb	м	FL	I	G
372	Gov	not subst	-	C1	Verb	ж	FL	D	D
373	Gov	not subst	-	C1	Verb	ж	FL	D	A
374	Gov	not subst	-	C1	Verb	ж	FL	D	D
375	Constr	not subst	-	C1	place	ж	FL	L	L
376	Gov	not subst	-	C1	Verb	ж	FL	L	L
377	Constr	not subst	-	C1	place	ж	FL	L	L
378	Gov	not subst	-	C1	Verb	ж	FL	I	G
379	Gov	not subst	-	C1	Verb	ж	FL	D	L
380	Constr	subst	-	C1	place	ж	FL	L	L
381	Gov	not subst	-	C1	Verb	ж	FL	G	N
382	Gov	not subst	-	C1	Verb	ж	FL	L	L
383	Gov	subst	-	C1	Verb	ж	FL	L	D
384	Gov	subst	-	A1	Verb	ж	FL	A	A
385	Gov	not subst	-	C1	Verb	м	HL	G	L
386	Gov	not subst	-	C1	Noun	м	HL	L	L
387	Gov	not subst	-	C1	Noun	м	HL	G	G
388	Gov	not subst	Transfer	C1	Noun	м	HL	G	L
389	Gov	not subst	-	C1	Noun	м	HL	G	D
390	Gov	not subst	Transfer	C1	Verb	м	HL	A	L
391	Gov	not subst	Fusion	C1	Verb	ж	HL	D	D
392	Gov	subst	Transfer	C1	Verb	ж	HL	A	D
393	Gov	not subst	-	B1	Verb	ж	HL	G	L
394	Constr	not subst	-	C1	time	м	HL	A	A
395	Constr	not subst	-	C1	time	м	HL	A	A
396	Constr	not subst	-	C1	time	м	HL	A	A
397	Gov	not subst	-	B2	Verb	м	HL	G	G
398	Constr	not subst	Transfer	C1	Adj	м	HL	N	I Adj
399	Gov	not subst	-	C1	Adj	м	HL	A	I
400	Gov	not subst	-	C1	Verb	м	HL	G	I
401	Gov	not subst	Transfer	C1	Verb	м	HL	G	G
402	Gov	not subst	-	C2	Noun	ж	HL	G	G
403	Constr	subst	Fusion	C1	place	ж	HL	L	L
404	Constr	subst	Fusion	C1	place	ж	HL	L	L
405	Gov	not subst	-	C1	Verb	м	HL	L	L
406	Gov	subst	Fusion	B2	Verb	м	HL	I	L
407	Gov	subst	-	B2	Verb	м	HL	D	L
408	Constr	not subst	-	C2	Noun	ж	HL	G	G
409	Constr	subst	-	C1	place	ж	HL	L	L
410	Gov	subst	-	C1	Verb	ж	HL	G	G
411	Constr	subst	-	C1	place	м	HL	L	L
412	Constr	not subst	Transfer	C1	time	ж	HL	N	A
413	Gov	not subst	-	C1	Verb	ж	HL	L	L
414	Gov	not subst	Fusion	C1	Verb	ж	HL	I	L
415	Gov	not subst	-	C1	Verb	ж	HL	N	A
416	Gov	not subst	-	C1	Verb	м	HL	D	L
417	Gov	not subst	Transfer	C1	Verb	ж	HL	N	L
418	Gov	not subst	-	C1	Verb	м	HL	I	I
419	Gov	not subst	-	C1	Verb	ж	HL	L	L
420	Gov	not subst	-	C1	Verb	м	HL	L	A
421	Gov	not subst	-	C1	Verb	м	HL	G	A
422	Gov	subst	-	C1	Verb	ж	HL	L	D
423	Constr	subst	-	C2	time	м	HL	G	G
424	Constr	subst	-	C2	time	м	HL	G	G
425	Gov	subst	-	C2	Verb	ж	HL	L	L
426	Gov	subst	-	C1	Verb	ж	HL	A	A
427	Constr	subst	-	C1	place	ж	HL	L	L
428	Constr	subst	-	C1	place	ж	HL	L	L
429	Constr	subst	-	C2	place	ж	HL	L	L
430	Constr	subst	-	C2	cause	ж	HL	G	D
431	Constr	subst	-	C1	cause	ж	HL	G	D
432	Constr	subst	-	C1	cause	ж	HL	G	D
433	Gov	not subst	-	C1	Verb	ж	HL	D	D
434	Gov	not subst	Fusion	C1	Verb	ж	HL	D	D
435	Gov	not subst	Transfer	C1	Verb	м	HL	G	D
436	Constr	subst	-	C1	place	м	HL	L	I
437	Gov	not subst	-	C2	Verb	ж	HL	L	L
438	Gov	not subst	-	C2	Verb	ж	HL	N	G
439	Constr	not subst	-	C2	place	ж	HL	L	L
440	Gov	not subst	-	C2	Noun	ж	HL	G	L
